Dataset,subDominio,feature_a,feature_b,feature_c,feature_d,feature_e,feature_f,feature_g,feature_h,feature_i,feature_j
1,SecurityPublic,SecurityPublic (100%),"UrbanMobility (41,67%)",SmartGrid (0%),"SmartHome (61,9%)","Agriculture (55,56%)","Logistic (62,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (53,85%)",SmartCampus (0%)
2,SecurityPublic,SecurityPublic (100%),"UrbanMobility (41,67%)",SmartGrid (0%),"SmartHome (57,14%)","Agriculture (55,56%)",Logistic (50%),HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (38,46%)",SmartCampus (0%)
3,SecurityPublic,SecurityPublic (100%),"UrbanMobility (41,67%)",SmartGrid (0%),"SmartHome (57,14%)","Agriculture (33,33%)","Logistic (62,5%)",HealthCare (50%),"IndependentLiving (66,67%)","IndustrialProcesses (53,85%)",SmartCampus (0%)
4,SecurityPublic,SecurityPublic (100%),"UrbanMobility (41,67%)",SmartGrid (0%),"SmartHome (52,38%)","Agriculture (55,56%)","Logistic (62,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (53,85%)",SmartCampus (0%)
5,SecurityPublic,SecurityPublic (100%),"UrbanMobility (41,67%)",SmartGrid (0%),"SmartHome (61,9%)","Agriculture (33,33%)","Logistic (62,5%)",HealthCare (50%),"IndependentLiving (66,67%)","IndustrialProcesses (53,85%)",SmartCampus (0%)
6,SecurityPublic,SecurityPublic (100%),"UrbanMobility (41,67%)",SmartGrid (0%),"SmartHome (52,38%)","Agriculture (44,44%)","Logistic (62,5%)",HealthCare (75%),"IndependentLiving (66,67%)","IndustrialProcesses (46,15%)",SmartCampus (0%)
7,UrbanMobility,"SecurityPublic (87,5%)","UrbanMobility (91,67%)",SmartGrid (0%),"SmartHome (47,62%)",Agriculture (0%),"Logistic (37,5%)",HealthCare (25%),"IndependentLiving (33,33%)","IndustrialProcesses (61,54%)",SmartCampus (0%)
8,UrbanMobility,SecurityPublic (75%),"UrbanMobility (83,33%)",SmartGrid (0%),"SmartHome (42,86%)",Agriculture (0%),"Logistic (37,5%)",HealthCare (25%),"IndependentLiving (33,33%)","IndustrialProcesses (61,54%)",SmartCampus (0%)
9,UrbanMobility,"SecurityPublic (87,5%)","UrbanMobility (91,67%)",SmartGrid (0%),"SmartHome (47,62%)",Agriculture (0%),"Logistic (37,5%)",HealthCare (25%),"IndependentLiving (33,33%)","IndustrialProcesses (61,54%)",SmartCampus (0%)
10,UrbanMobility,SecurityPublic (75%),"UrbanMobility (83,33%)",SmartGrid (0%),"SmartHome (42,86%)",Agriculture (0%),"Logistic (37,5%)",HealthCare (25%),"IndependentLiving (33,33%)","IndustrialProcesses (61,54%)",SmartCampus (0%)
11,UrbanMobility,"SecurityPublic (87,5%)","UrbanMobility (91,67%)",SmartGrid (0%),"SmartHome (42,86%)",Agriculture (0%),"Logistic (37,5%)",HealthCare (25%),"IndependentLiving (33,33%)","IndustrialProcesses (61,54%)",SmartCampus (0%)
12,UrbanMobility,"SecurityPublic (87,5%)","UrbanMobility (91,67%)",SmartGrid (0%),"SmartHome (47,62%)",Agriculture (0%),"Logistic (37,5%)",HealthCare (25%),"IndependentLiving (33,33%)","IndustrialProcesses (61,54%)",SmartCampus (0%)
13,SmartGrid,"SecurityPublic (12,5%)",UrbanMobility (25%),"SmartGrid (85,71%)",SmartHome (0%),Agriculture (0%),"Logistic (37,5%)",HealthCare (25%),"IndependentLiving (16,67%)","IndustrialProcesses (23,08%)",SmartCampus (0%)
14,SmartGrid,"SecurityPublic (12,5%)",UrbanMobility (25%),"SmartGrid (85,71%)",SmartHome (0%),Agriculture (0%),"Logistic (37,5%)",HealthCare (25%),"IndependentLiving (16,67%)","IndustrialProcesses (23,08%)",SmartCampus (0%)
15,SmartGrid,"SecurityPublic (12,5%)",UrbanMobility (25%),"SmartGrid (85,71%)",SmartHome (0%),Agriculture (0%),"Logistic (37,5%)",HealthCare (25%),"IndependentLiving (16,67%)","IndustrialProcesses (23,08%)",SmartCampus (0%)
16,SmartGrid,"SecurityPublic (12,5%)",UrbanMobility (25%),"SmartGrid (85,71%)",SmartHome (0%),Agriculture (0%),"Logistic (37,5%)",HealthCare (25%),"IndependentLiving (16,67%)","IndustrialProcesses (23,08%)",SmartCampus (0%)
17,SmartGrid,"SecurityPublic (12,5%)",UrbanMobility (25%),"SmartGrid (85,71%)",SmartHome (0%),Agriculture (0%),"Logistic (37,5%)",HealthCare (25%),"IndependentLiving (16,67%)","IndustrialProcesses (23,08%)",SmartCampus (0%)
18,SmartGrid,"SecurityPublic (12,5%)",UrbanMobility (25%),"SmartGrid (85,71%)",SmartHome (0%),Agriculture (0%),"Logistic (37,5%)",HealthCare (25%),"IndependentLiving (16,67%)","IndustrialProcesses (23,08%)",SmartCampus (0%)
19,SmartHome,SecurityPublic (50%),UrbanMobility (25%),SmartGrid (0%),"SmartHome (52,38%)","Agriculture (22,22%)","Logistic (37,5%)",HealthCare (0%),"IndependentLiving (16,67%)",IndustrialProcesses (0%),SmartCampus (0%)
20,SmartHome,SecurityPublic (50%),"UrbanMobility (16,67%)",SmartGrid (0%),"SmartHome (52,38%)","Agriculture (22,22%)","Logistic (37,5%)",HealthCare (0%),"IndependentLiving (16,67%)",IndustrialProcesses (0%),SmartCampus (0%)
21,SmartHome,SecurityPublic (50%),"UrbanMobility (16,67%)",SmartGrid (0%),"SmartHome (52,38%)","Agriculture (22,22%)","Logistic (37,5%)",HealthCare (0%),"IndependentLiving (16,67%)",IndustrialProcesses (0%),SmartCampus (0%)
22,SmartHome,SecurityPublic (50%),UrbanMobility (25%),SmartGrid (0%),"SmartHome (52,38%)","Agriculture (22,22%)","Logistic (37,5%)",HealthCare (0%),"IndependentLiving (16,67%)",IndustrialProcesses (0%),SmartCampus (0%)
23,SmartHome,SecurityPublic (50%),UrbanMobility (25%),SmartGrid (0%),"SmartHome (52,38%)","Agriculture (22,22%)",Logistic (25%),HealthCare (0%),"IndependentLiving (16,67%)",IndustrialProcesses (0%),SmartCampus (0%)
