Dataset,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ActivePixel,Alarm,Current,GasDetector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ActivePixel,AngleSensitivePixel,Image,Microbolometer,MotionDetector,OmnidirectionalCamera,RangeImaging,StaringArray,TimeOfFlightCamera,Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ElectroOptical,IncrementalEncoder,LedAsLight,Light,PassiveInfrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bio,Biochip,Nano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Microphone,Alarm,SoundLocator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Microphone,Biochip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bipfet,Calorimeter,ChemicalFieldEffectTransistor,CloudChamber,CylinderHeadTemperatureGauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AngularRate,Bolometer,BrakeFluidPressure,CamshaftPosition,CloudChamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Abs,Barometer,FullLevel,FullPressure,Proximity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SegurançaPublica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Accelerometer,ActivePixel,Alarm,AnalogImageProcessing,AngleSensitivePixel,Auxanometer,BackIlluminated,Catadioptric,Cmos,Colorimeter,Flow,GasDetector,GroundSpeedRadar,Heartbeat,HookGaugeEvaporimeter,Hyperspectral,Image,ImageFormat,Impact,Intelligent,Leaf,Microbolometer,Microphone,MillimeterWaveScanner,MotionDetector,Nano,Occupancy,OmnidirectionalCamera,PassiveInfrared,Photoelectric,PiezoelectricAccelerometer,Position,Proximity,PushBroomScanner,QuartzThermometer,RangeImaging,Smartdust,Snotel,Grid,SoundLocator,StaringArray,StaringArray,Tactile,Thermocouple,TimeOfFlightCamera,UltraWidebandRadar,Video,VisualNetwork,WirelessNetwork,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobilidadeUrbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Abs,Accelerometer,ActivePixel,AngleSensitivePixel,AnprWhereVehiclesAreTimedOverFixedDistance,AutomaticTransmissionSpeed,BlindSpotMonitor,BrakeFluidPressure,Capacitance,CapacitiveDisplacement,ChargeCoupledDevice,DisplacementReceiver,DopplerRadar,FreeFall,GroundSpeedRadar,HallEffect,Image,Microbolometer,Microphone,MotionDetector,Occupancy,Odometer,OmnidirectionalCamera,Parking,PassiveInfrared,Piezoelectric,PiezoelectricAccelerometer,Position,Radar,RadarGun,RangeImaging,Speedometers,StaringArray,Tachometer,TimeOfFlightCamera,TouchSwitch,UltraWidebandRadar,VehicleSpeed,VelocityReceiver,Video,WheelSpeed,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnergiaInteligente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Current,Galvanometer,Photodiode,ProportionalCounter,StrainGauge,TestLight,VoltageDetector,WheatstoneBridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CasasInteligentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Accelerometer,Actigraphy,Alarm,AnalogImageProcessing,AngleSensitivePixel,BackIlluminated,Calorimeter,Capacitance,CapacitiveSensing,Catadioptric,Cmos,Colorimeter,Electroscope,Gyroscope,Gyroscopic,HeatFlux,Image,ImageFormat,IncrementalEncoder,InfraredThermometer,LedAsLight,Light,Microphone,MillimeterWaveScanner,MotionDetector,Occupancy,OmnidirectionalCamera,PassiveInfrared,Piezoelectric,Position,Pyrometer,QuartzThermometer,RangeImaging,ResistanceThermometer,SiliconBandgap,StaringArray,Temperature,TemperatureGauge,Thermocouple,Thermometer,TimeOfFlightCamera,TouchSwitch,UltraWidebandRadar,Video,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CampusInteligente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
